index,Unnamed: 0,scale,paper size,drawing title,building number,building name,name,area_air,perimeter,area_total,area_wall,volume_air,volume_wall,surface_area_wall,surface_area_roof,building_num_from_path
26,780,0.005,A1,A Floor,MC046,Bowland Main,Bowland Main MC046_1,2420.599999999999,0,0,0.0,0.0,0.0,0.0,0,MC046
27,844,0.005,A1,B Floor,MC046,Bowland Main,Bowland Main MC046_2,2172.1000000000004,0,0,0.0,0.0,0.0,0.0,0,MC046
28,956,0.005,A1,C Floor,MC046,Bowland Main,Bowland Main MC046_3,1968.0000000000007,0,0,0.0,0.0,0.0,0.0,0,MC046
29,1131,0.005,A1,D Floor,MC046,Bowland Main,Bowland Main MC046_4,772.4999999999999,0,0,0.0,0.0,0.0,0.0,0,MC046
30,1211,0.005,A1,B Floor,MC043,Bowland North,Bowland North MC043_1,2133.060000000001,0,0,0.0,0.0,0.0,0.0,0,MC043
31,1360,0.005,A1,C Floor,MC043,Bowland North,Bowland North MC043_2,2263.8000000000006,0,0,0.0,0.0,0.0,0.0,0,MC043
32,1515,0.005,A1,D Floor,MC043,Bowland North,Bowland North MC043_3,778.6999999999999,0,0,0.0,0.0,0.0,0.0,0,MC043
33,1571,0.01,A1,LG Floor,MC064,Bowland South,Bowland South MC064_0,487.90000000000003,0,0,0.0,1363.1926000000003,0.0,0.0,0,MC064
34,1585,0.01,A1,A Floor,MC064,Bowland South,Bowland South MC064_1,472.29999999999995,0,0,0.0,1319.6062000000002,0.0,0.0,0,MC064
35,1610,0.01,A1,B Floor,MC064,Bowland South,Bowland South MC064_2,451.60000000000025,0,0,0.0,1261.770400000001,0.0,0.0,0,MC064
36,1655,0.01,A1,C Floor,MC064,Bowland South,Bowland South MC064_3,467.60000000000025,0,0,0.0,1306.474400000001,0.0,0.0,0,MC064
37,1701,0.01,A1,D Floor,MC064,Bowland South,Bowland South MC064_4,125.79999999999998,0,0,0.0,351.4852,0.0,0.0,0,MC064
38,1714,0.02,A3,A Floor,MC062,Bowland Tower,Bowland Tower MC062_0,145.0,0,0,0.0,344.1333333333334,0.0,0.0,0,MC062
39,1723,0.02,A3,B Floor,MC062,Bowland Tower,Bowland Tower MC062_1,55.89999999999999,0,0,0.0,132.66933333333333,0.0,0.0,0,MC062
40,1731,0.02,A3,L Floor,MC062,Bowland Tower,Bowland Tower MC062_10,89.3,0,0,0.0,211.93866666666668,0.0,0.0,0,MC062
